mean,std,rms,peak,flag_anom
0.021492162399999997,0.007346246933732726,0.022711812373638084,0.036469,False
0.021008761,0.006326092513230021,0.02193963230764317,0.037689,False
0.0218106018,0.007211739944793367,0.022970840966679038,0.042725,False
0.02152282486,0.006729876194133286,0.02254945525526077,0.048065,False
0.021982259369999996,0.007403334210669987,0.023194272462989534,0.041199,False
0.021402889600000002,0.006085318837499466,0.022250342862042822,0.036469,False
0.021682870700000002,0.006409603931919319,0.02260948520719634,0.03891,False
0.02104537186,0.008093828594571681,0.022546667780021675,0.042725,False
0.021673712449999997,0.006728429090420171,0.022693089204250543,0.039825,False
0.021457969499999997,0.00783168538752993,0.02284115618299938,0.053253,False
0.0217793197,0.0060263344764096395,0.02259688379199995,0.037384,False
0.021467572,0.005862161609622624,0.022252802550999727,0.037079,False
0.0217217932,0.0066717255970233005,0.022722317450979777,0.039825,False
0.021086125199999996,0.008158048496570569,0.022607783559367337,0.04776,False
0.021848906499999998,0.005683318903637928,0.022575263650562977,0.038605,False
0.02143859568,0.007459605773680442,0.02269809369332461,0.053101,False
0.021804664499999998,0.006246354805735009,0.022680858126806622,0.03952,False
0.0211492858,0.007825777109195046,0.022549364390721083,0.040131,False
0.02163635064,0.00754427031095735,0.02291267700482194,0.042114,False
0.02176741681,0.00779893592199533,0.02312105128868807,0.038605,False
0.0215122729,0.0051568208286632035,0.022121123244129126,0.036926,False
0.02163696579,0.007961565924156611,0.023053881105583016,0.049133,False
0.021513206500000003,0.005629170214293502,0.022236769631756994,0.035553,False
0.02134507126,0.007427124738089752,0.022599094822309755,0.042725,False
0.021347184300000002,0.0068389574147807615,0.022414879984528804,0.038147,False
0.02187241183,0.006701700767636967,0.022875101740689394,0.037079,False
0.021556077879999996,0.005868852934114072,0.022339952661008987,0.039978,False
0.02195846762,0.008806345247900546,0.023656890436555347,0.05127,False
0.0212689062,0.00699925983580626,0.022389886546279773,0.040588,False
0.0218850491,0.007119116252403422,0.023012746652853716,0.0383,False
0.0212524203,0.0059747913133594965,0.02207550229813152,0.036011,False
0.0215808097,0.007525509035233127,0.02285405872620332,0.041809,False
0.02096815056,0.0052837948796102124,0.021622994883879833,0.03479,False
0.02202148416,0.008340221592784077,0.02354645411796978,0.051117,False
0.0213010971,0.006035460763592991,0.022138814275066088,0.036163,False
0.022075946699999998,0.006336025186510327,0.02296633389660113,0.037384,False
0.021394817939999998,0.00850006479246117,0.02301992799859087,0.045319,False
0.0217857415,0.006627422866155036,0.022770536748566335,0.0383,False
0.021173094539999996,0.007934445270109784,0.022609564319606004,0.054169,False
0.021770479300000003,0.006420649424989666,0.0226966359456927,0.036469,False
0.021146856,0.005822587737962417,0.02193303773130936,0.035553,False
0.0217207258,0.0067932905470376335,0.022757253281949472,0.038147,False
0.02191496513,0.00753929392747654,0.023174335127918465,0.041809,False
0.0214570433,0.006303324410231138,0.02236284583634359,0.039215,False
0.02142834716,0.007255511113332144,0.022622198414027992,0.05127,False
0.0217718293,0.006653895915489334,0.022764942512373054,0.040283,False
0.02126861384,0.007363288733070663,0.022505948938461546,0.040741,False
0.021321105959999996,0.007567797538906544,0.022623082181432254,0.039825,False
0.021466962899999997,0.008031418879097587,0.022918762655786854,0.045166,False
0.0218072347,0.0059431409768283625,0.022601793933373297,0.042419,False
0.021589044789999998,0.00802195113105056,0.02302985460643728,0.05188,False
0.021443012940000002,0.005833610296235473,0.022221606198118617,0.037537,False
0.02201279358,0.007530480594620052,0.023264017517265853,0.041351,False
0.0213816555,0.0069341642425394204,0.02247687129093927,0.03952,False
0.02143614677,0.007253003670162626,0.022628783540485215,0.040283,False
0.021194908929999996,0.006362918710843122,0.022128497742442223,0.040131,False
0.021758427159999996,0.008682469196365634,0.023425179584189267,0.05661,False
0.0213273467,0.006830536303134433,0.022393420623572673,0.041656,False
0.0221639807,0.007218270886767295,0.023308654436284607,0.037689,False
0.0213035586,0.0062241093581256995,0.02219329643807427,0.036316,False
0.0217700186,0.007391294635839368,0.022989352209267226,0.040436,False
0.0211683588,0.0049931688766627355,0.021748706121996773,0.032349,False
0.021927182789999996,0.009152331258626953,0.023758845666535328,0.050964,False
